FundingRatio_SAA;Year_1;Year_2;Year_3;Year_4;Year_5;Year_6
Expectation;1.13725729064856;1.14774553409601;1.15795613839456;1.16766629167887;1.17693030212001;1.18584600340927
Volatility;0.0789983777173163;0.111918911374585;0.137401316529793;0.159305325860554;0.178852146398149;0.196914523407739
Quantile 0.95;1.26725115358627;1.3360416514833;1.39271927336283;1.44268351695217;1.48840069967515;1.53130249324477
Quantile 0.75;1.19051160722087;1.22186832967343;1.24736626197996;1.27008095201829;1.29071718674263;1.31005216766559
Quantile 0.50;1.13725729064857;1.14505960553328;1.15257088587803;1.15966240933952;1.16628395524885;1.17249587933943
Quantile 0.25;1.08400297407628;1.07068679910076;1.06270357971971;1.05644843285957;1.05136917652311;1.04711539615945
Quantile 0.05;1.00726342771087;0.96858991086594;0.941542392388071;0.920079264969561;0.902028590056061;0.88618688174648
