Cumulated_Total_Returns_Assets_SAA;Year_1;Year_2;Year_3;Year_4;Year_5;Year_6
Expectation;0.04295;0.0877587708708894;0.1344754203262;0.183216571734276;0.234016320603461;0.28698544925799
Volatility;0.0711101534431782;0.105037277177905;0.134210021133868;0.161817547018101;0.188740091325431;0.21576481562203
Quantile 0.95;0.159963602072591;0.264533566042811;0.363860562920029;0.462712250943918;0.562910179791171;0.66586811152662
Quantile 0.75;0.090886922586086;0.157303194972162;0.22180600972834;0.287140601396818;0.353936555210549;0.422880232644848
Quantile 0.50;0.04295;0.0852118581880202;0.129176075528703;0.174946004169021;0.222678658691693;0.272141404386088
Quantile 0.25;-0.00498692258608602;0.0154330780772103;0.0414414671753993;0.0702374837302664;0.101487519076578;0.134934631291025
Quantile 0.05;-0.0740636020725915;-0.0803420709964476;-0.076842362478545;-0.0681193176005552;-0.0557878595984776;-0.0409652089390964
