Total_Returns_Assets_SAA;Year_1;Year_2;Year_3;Year_4;Year_5;Year_6
Expectation;0.04295;0.0429500000000002;0.0429500000000001;0.04295;0.04295;0.04295
Volatility;0.0711101534431782;0.0709556749411329;0.0709813058192164;0.0708712432532512;0.0710177900502986;0.0711585649174691
Quantile 0.95;0.159963602072591;0.159707093682703;0.159658761390702;0.159430445780329;0.159761417338951;0.159974780334668
Quantile 0.75;0.090886922586086;0.0908162402364768;0.0908264187175662;0.0906829580019843;0.0908041097100448;0.0909705679784082
Quantile 0.50;0.04295;0.0429499999999999;0.0429499999999999;0.04295;0.04295;0.04295
Quantile 0.25;-0.00498692258608602;-0.0049162402364768;-0.00492641871756633;-0.00478295800198442;-0.00490410971004479;-0.00507056797840821
Quantile 0.05;-0.0740636020725915;-0.0738070936827033;-0.0737587613907019;-0.073530445780329;-0.0738614173389512;-0.0740747803346678
