SAA;Jahr_0;Jahr_1;Jahr_2;Jahr_3;Jahr_4;Jahr_5;Jahr_6
Assets;7355133153;7782292633.92132;8233007913.04535;8692673935.1801;9162785812.69859;9640450790.55514;10129007688.3837
Insurance Liabilities;6294454000;6620701134.06558;6952896505.34828;7288550624.10343;7630548107.95983;7976342162.01677;8328362755.35778
Non-Insurance Liabilities;252852000;252852000;252852000;252852000;252852000;252852000;252852000
Value Fluctuation Reserve;807827153.000002;908739499.855741;1027259407.69707;1151271311.07667;1279385704.73876;1411256628.53838;1547792933.0259
